Timestamp (LOCAL_TIME),SPSQC:EXTRACTED_INTENSITY,SPS.BLM.21636.ZS1:LOSS_CYCLE,SPS.BLM.21652.ZS2:LOSS_CYCLE,SPS.BLM.21658.ZS3:LOSS_CYCLE,SPS.BLM.21674.ZS4:LOSS_CYCLE,SPS.BLM.21680.ZS5:LOSS_CYCLE,SPS.BLM.21694.TCE:LOSS_CYCLE,SPS.BLM.21772.TPST:LOSS_CYCLE,SPS.BLM.21775.MST1:LOSS_CYCLE,SPS.BLM.21776.MST1:LOSS_CYCLE,SPS.BLM.21792.MST3:LOSS_CYCLE,SPS.BLM.21796.MST3:LOSS_CYCLE,SPS.BLM.21835.MSE1:LOSS_CYCLE,SPS.BLM.21839.MSE2:LOSS_CYCLE,SPS.BLM.21905.QDA:LOSS_CYCLE,ZS.LSS2.GIRDER:DO_PPM,ZS.LSS2.GIRDER:UP_PPM,ZS1.LSS2.ANODE:DO_PPM,ZS1.LSS2.ANODE:UP_PPM,ZS2.LSS2.ANODE:DO_PPM,ZS2.LSS2.ANODE:UP_PPM,ZS3.LSS2.ANODE:DO_PPM,ZS3.LSS2.ANODE:UP_PPM,ZS4.LSS2.ANODE:DO_PPM,ZS4.LSS2.ANODE:UP_PPM,ZS5.LSS2.ANODE:DO_PPM,ZS5.LSS2.ANODE:UP_PPM
06:26.5,3.87E+01,6.83E-05,0.000136536,0.000204804,0.00019115,0.000177496,0.000177496,4.10E-05,4.10E-05,2.73E-05,2.73E-05,2.73E-05,1.37E-05,1.37E-05,2.73E-05,42.768,68.13,-0.16,0.001,0,0.602,0.441,-0.061,0.685,0.146,0.565,0.624
06:26.5,4.67E+01,6.79E-05,0.000147017,0.000214871,0.000180944,0.000180944,0.000192253,0.000101781,6.79E-05,5.65E-05,4.52E-05,3.39E-05,0,1.13E-05,4.52E-05,42.77,68.098,-0.274,-0.039,-0.478,0.278,0.263,-0.005,0.901,0.976,-0.195,0.335
06:44.5,4.43E+01,7.15E-05,0.000142927,0.00021439,0.000190569,0.000166748,0.000166748,4.76E-05,3.57E-05,2.38E-05,1.19E-05,1.19E-05,0,0,2.38E-05,42.768,68.13,-0.16,0.001,-0.499,0.602,0.441,-0.061,0.685,0.146,0.565,0.624
06:44.5,4.90E+01,6.46E-05,0.000150714,0.000236837,0.000204541,0.000204541,0.000215306,9.69E-05,6.46E-05,4.31E-05,4.31E-05,2.15E-05,0,1.08E-05,4.31E-05,42.77,68.098,0.034,-0.036,-0.478,0.29,0.276,-0.008,0.785,0.795,-0.192,0.32
07:02.5,4.06E+01,6.51E-05,0.000143204,0.000208296,0.000182259,0.000169241,0.000169241,3.91E-05,3.91E-05,3.91E-05,1.30E-05,1.30E-05,1.30E-05,1.30E-05,3.91E-05,42.768,68.13,-0.16,0.001,-0.496,0.602,0.441,-0.061,0.685,0.146,0.565,0.624
07:02.5,4.62E+01,6.85E-05,0.000137093,0.000194215,0.000159942,0.000171366,0.000171366,0.00010282,6.85E-05,5.71E-05,3.43E-05,2.28E-05,1.14E-05,1.14E-05,2.28E-05,42.77,68.098,-0.78,-0.039,-0.478,0.29,0.304,-0.008,0.785,0.795,-0.192,0.323
07:20.5,4.24E+01,7.46E-05,0.000149279,0.000211479,0.000186599,0.000174159,0.000161719,4.98E-05,3.73E-05,3.73E-05,2.49E-05,2.49E-05,0,1.24E-05,3.73E-05,42.768,68.13,-0.16,0.001,-0.496,0.602,0.441,-0.061,0.685,0.146,0.565,0.624
07:20.5,4.43E+01,7.15E-05,0.000142927,0.00020248,0.000178658,0.000190569,0.00020248,0.000119106,7.15E-05,5.96E-05,4.76E-05,2.38E-05,0,1.19E-05,3.57E-05,42.768,68.13,-1.004,-0.039,-0.478,0.305,0.304,-0.005,0.785,0.795,-0.192,0.32
07:38.5,4.29E+01,7.38E-05,0.000147639,0.000209155,0.000184548,0.000172245,0.000159942,4.92E-05,2.46E-05,2.46E-05,2.46E-05,1.23E-05,0,1.23E-05,2.46E-05,42.768,68.13,-0.16,0.001,-0.496,0.602,0.441,-0.061,0.685,0.146,0.565,0.624
07:38.5,3.96E+01,6.66E-05,0.000146613,0.000186599,0.000159942,0.00017327,0.000186599,0.000106628,6.66E-05,5.33E-05,4.00E-05,2.67E-05,1.33E-05,1.33E-05,2.67E-05,42.768,68.13,-0.756,-0.036,-0.478,0.302,0.304,-0.008,0.785,0.795,-0.189,0.314
07:56.5,3.82E+01,6.91E-05,0.000152043,0.000221154,0.00019351,0.000165866,0.000165866,4.15E-05,4.15E-05,2.76E-05,2.76E-05,2.76E-05,1.38E-05,1.38E-05,4.15E-05,42.768,68.13,-0.16,0.001,-0.496,0.602,0.441,-0.061,0.685,0.146,0.565,0.624
07:56.5,4.39E+01,7.22E-05,0.000168541,0.000252811,0.000204657,0.000228734,0.000240773,0.000132425,8.43E-05,6.02E-05,4.82E-05,2.41E-05,1.20E-05,1.20E-05,4.82E-05,42.768,68.13,-0.78,-0.036,-0.478,0.608,0.304,-0.008,0.785,0.795,-0.189,0.314
